Datum,Kalenderwoche,Wochentag,unbereinigt,Kalender- und saisonbereinigt (KSB),gleitender 7-Tage-Durchschnitt KSB,Veränderung KSB gegenüber Vortag in Prozent
2008-01-01,1,Dienstag  ,8.2,83.8,NA,NA
2008-01-02,1,Mittwoch  ,80.1,111.7,NA,33.3
2008-01-03,1,Donnerstag,98.9,112.6,NA,0.8
2008-01-04,1,Freitag   ,91.6,104.2,98.9,-7.5
2008-01-05,1,Samstag   ,37.5,83.3,101.6,-20.1
2008-01-06,1,Sonntag   ,16.0,87.8,100.0,5.4
2008-01-07,2,Montag    ,115.6,108.7,98.2,23.8
2008-01-08,2,Dienstag  ,133.0,102.7,97.8,-5.5
2008-01-09,2,Mittwoch  ,135.2,100.7,100.6,-1.9
2008-01-10,2,Donnerstag,133.3,99.7,102.8,-1.0
2008-01-11,2,Freitag   ,114.4,101.5,101.7,1.8
2008-01-12,2,Samstag   ,41.8,103.4,101.6,1.9
2008-01-13,2,Sonntag   ,16.5,102.8,101.6,-0.6
2008-01-14,3,Montag    ,123.8,101.4,101.8,-1.4
2008-01-15,3,Dienstag  ,139.0,101.6,101.8,0.2
2008-01-16,3,Mittwoch  ,140.0,100.9,101.5,-0.7
2008-01-17,3,Donnerstag,136.7,100.9,101.2,0.0
2008-01-18,3,Freitag   ,117.3,101.4,101.1,0.5
2008-01-19,3,Samstag   ,42.4,101.4,101.0,0.0
2008-01-20,3,Sonntag   ,16.3,100.6,101.0,-0.8
2008-01-21,4,Montag    ,123.9,101.1,101.0,0.5
2008-01-22,4,Dienstag  ,138.4,100.5,101.0,-0.6
2008-01-23,4,Mittwoch  ,140.3,101.1,100.8,0.6
2008-01-24,4,Donnerstag,137.1,101.1,100.9,0.0
2008-01-25,4,Freitag   ,116.6,101.1,101.0,0.0
2008-01-26,4,Samstag   ,41.5,100.4,101.1,-0.7
2008-01-27,4,Sonntag   ,16.0,100.8,101.0,0.4
2008-01-28,5,Montag    ,124.5,101.8,101.0,1.0
2008-01-29,5,Dienstag  ,138.7,101.1,100.8,-0.7
2008-01-30,5,Mittwoch  ,139.9,100.6,100.9,-0.5
2008-01-31,5,Donnerstag,136.6,100.9,100.9,0.3
2008-02-01,5,Freitag   ,114.9,100.0,100.6,-0.9
2008-02-02,5,Samstag   ,41.2,101.1,100.2,1.1
2008-02-03,5,Sonntag   ,15.5,101.0,100.1,-0.1
2008-02-04,6,Montag    ,113.3,99.2,100.0,-1.8
2008-02-05,6,Dienstag  ,131.3,98.9,100.2,-0.3
2008-02-06,6,Mittwoch  ,137.5,99.4,100.3,0.5
2008-02-07,6,Donnerstag,135.5,100.7,100.4,1.3
2008-02-08,6,Freitag   ,116.4,100.9,100.8,0.2
2008-02-09,6,Samstag   ,42.3,101.9,101.1,1.0
2008-02-10,6,Sonntag   ,16.2,102.1,101.5,0.2
2008-02-11,7,Montag    ,124.1,101.7,101.7,-0.4
2008-02-12,7,Dienstag  ,138.9,101.2,101.8,-0.5
2008-02-13,7,Mittwoch  ,141.6,102.1,101.8,0.9
2008-02-14,7,Donnerstag,137.5,101.7,101.8,-0.4
2008-02-15,7,Freitag   ,117.9,102.2,101.9,0.5
2008-02-16,7,Samstag   ,42.8,101.9,102.1,-0.3
2008-02-17,7,Sonntag   ,16.1,102.0,102.1,0.1
2008-02-18,8,Montag    ,125.2,102.3,102.1,0.3
2008-02-19,8,Dienstag  ,140.8,102.5,101.9,0.2
2008-02-20,8,Mittwoch  ,142.0,101.8,102.1,-0.7
2008-02-21,8,Donnerstag,138.8,101.8,102.1,0.0
2008-02-22,8,Freitag   ,118.3,101.3,102.1,-0.5
2008-02-23,8,Samstag   ,43.3,102.8,102.0,1.5
2008-02-24,8,Sonntag   ,16.3,102.1,102.0,-0.7
2008-02-25,9,Montag    ,126.1,102.4,102.0,0.3
2008-02-26,9,Dienstag  ,141.1,101.6,102.0,-0.8
2008-02-27,9,Mittwoch  ,144.0,102.1,101.7,0.5
2008-02-28,9,Donnerstag,140.9,101.9,101.6,-0.2
2008-02-29,9,Freitag   ,120.7,100.8,101.4,-1.1
2008-03-01,9,Samstag   ,43.5,100.7,101.4,-0.1
2008-03-02,9,Sonntag   ,18.1,101.9,101.2,1.2
2008-03-03,10,Montag    ,126.2,100.6,101.1,-1.3
2008-03-04,10,Dienstag  ,142.7,101.5,101.1,0.9
2008-03-05,10,Mittwoch  ,143.4,101.0,101.3,-0.5
2008-03-06,10,Donnerstag,141.0,101.0,101.2,0.0
2008-03-07,10,Freitag   ,122.0,101.3,101.4,0.3
2008-03-08,10,Samstag   ,44.8,101.7,101.5,0.4
2008-03-09,10,Sonntag   ,16.8,101.2,101.7,-0.5
2008-03-10,11,Montag    ,128.3,102.4,101.9,1.2
2008-03-11,11,Dienstag  ,143.7,101.9,102.0,-0.5
2008-03-12,11,Mittwoch  ,144.8,102.6,102.3,0.7
2008-03-13,11,Donnerstag,142.8,101.9,102.3,-0.7
2008-03-14,11,Freitag   ,123.9,102.1,102.4,0.2
2008-03-15,11,Samstag   ,48.2,103.7,102.8,1.6
2008-03-16,11,Sonntag   ,18.0,101.6,103.1,-2.0
